model_name,Mean Squared Error (MSE),R^2 Score,Explained Variance Score,Mean Absolute Error (MAE)
xgboost,5808.289192329493,0.01776458456221286,0.017874642206557212,18.440431972932508
linear,5702.331087769982,0.035683079906496884,0.03698573385520165,18.161798190135134
knnR,6316.227828693006,-0.06813253608465364,-0.06578243227063285,18.00132841025641
svr,6061.862654394792,-0.02511703283118938,0.0004011895312612257,12.849355914566948
ridge,5702.249250520844,0.035696919342128375,0.036999036212556735,18.160287862523855
lasso,5690.954073357089,0.03760703825434364,0.038942915326199756,17.653942317267354
mlp,5546.527398049675,0.06203092465590576,0.062434750756986346,18.07428146297403
decisionTree,7280.9925610542905,-0.23128317413175026,-0.23057254353054213,19.541315143128475
ExtraTreeRegressor,9060.001011459148,-0.5321299547394369,-0.5321289302337031,20.72692422737756
RandomForestRegressor,5529.721407048915,0.06487297315002594,0.06491020730926478,17.961840692672702
